Freeway-Direction,Sensor Order,Sensor
101-N,1,402359
101-N,2,401908
101-N,3,400804
101-N,4,402361
101-N,5,400400
101-N,6,401890
101-N,7,400996
101-N,8,400668
101-N,9,402362
101-N,10,400965
101-N,11,400001
101-N,12,404753
101-N,13,402364
101-N,14,400863
101-N,15,400911
101-N,16,400760
101-N,17,400964
101-N,18,400227
101-N,19,404521
101-N,20,400353
101-N,21,401994
101-N,22,400246
101-N,23,402366
101-N,24,400168
101-N,25,400790
101-N,26,402368
101-N,27,402370
101-N,28,401996
101-N,29,401997
101-N,30,404522
101-N,31,401998
101-N,32,402372
101-N,33,401534
101-N,34,401948
101-N,35,401507
101-S,1,401926
101-S,2,400149
101-S,3,401937
101-S,4,401936
101-S,5,402373
101-S,6,400435
101-S,7,404554
101-S,8,400545
101-S,9,400743
101-S,10,400330
101-S,11,402371
101-S,12,404553
101-S,13,400904
101-S,14,402369
101-S,15,400643
101-S,16,400794
101-S,17,402367
101-S,18,400069
101-S,19,400372
101-S,20,400206
101-S,21,400895
101-S,22,400586
101-S,23,400172
101-S,24,402365
101-S,25,400394
101-S,26,400922
101-S,27,400109
101-S,28,402363
101-S,29,400440
101-S,30,400160
101-S,31,401891
101-S,32,401906
101-S,33,402360
17-N,1,400649
17-N,2,400715
17-N,3,400240
17-N,4,403329
17-N,5,400436
17-N,6,400221
17-N,7,404370
17-S,1,400100
17-S,2,400298
17-S,3,400278
17-S,4,400073
17-S,5,400832
237-E,1,404585
237-E,2,400970
237-E,3,400973
237-E,4,400567
237-E,5,400104
237-E,6,400296
237-E,7,400873
237-W,1,413845
237-W,2,400158
237-W,3,401014
237-W,4,400449
237-W,5,400201
237-W,6,400096
237-W,7,400274
237-W,8,400687
237-W,9,404586
237-W,10,400581
237-W,11,401351
280-N,1,401403
280-N,2,401655
280-N,3,401808
280-N,4,403402
280-N,5,400799
280-N,6,400953
280-N,7,401810
280-N,8,413878
280-N,9,414284
280-N,10,401942
280-N,11,413877
280-N,12,414694
280-N,13,401167
280-N,14,405701
280-N,15,407710
280-N,16,401400
280-N,17,400714
280-N,18,400414
280-N,19,400560
280-N,20,400499
280-N,21,400823
280-N,22,401845
280-S,1,401846
280-S,2,404640
280-S,3,400673
280-S,4,400084
280-S,5,400429
280-S,6,400292
280-S,7,401388
280-S,8,407711
280-S,9,401163
280-S,10,403419
280-S,11,401327
280-S,12,403414
280-S,13,402067
280-S,14,401943
280-S,15,403412
280-S,16,403409
280-S,17,401811
280-S,18,403406
280-S,19,403404
280-S,20,403401
280-S,21,401809
280-S,22,401391
680-N,1,407172
680-N,2,407173
680-N,3,407165
680-N,4,407176
680-N,5,407177
680-N,6,407179
680-N,7,407180
680-N,8,407181
680-N,9,407157
680-N,10,407155
680-N,11,407153
680-N,12,407174
680-N,13,407161
680-N,14,407152
680-N,15,407151
680-N,16,407150
680-S,1,407184
680-S,2,407185
680-S,3,407190
680-S,4,407191
680-S,5,407200
680-S,6,407186
680-S,7,407187
680-S,8,407207
680-S,9,407206
680-S,10,407204
680-S,11,407202
680-S,12,407194
680-S,13,400665
85-N,1,400268
85-N,2,401555
85-N,3,400052
85-N,4,400461
85-N,5,400750
85-N,6,400148
85-N,7,400336
85-N,8,400713
85-N,9,400485
85-N,10,400822
85-N,11,400464
85-N,12,400688
85-N,13,404434
85-N,14,400222
85-N,15,400952
85-N,16,401210
85-N,17,400507
85-N,18,400185
85-N,19,400677
85-N,20,404435
85-N,21,407344
85-N,22,407321
85-N,23,407331
85-N,24,407341
85-N,25,407339
85-N,26,407337
85-N,27,402060
85-N,28,407336
85-N,29,407335
85-N,30,407328
85-N,31,407342
85-N,32,407325
85-N,33,407323
85-N,34,400174
85-N,35,407332
85-S,1,407359
85-S,2,400869
85-S,3,407374
85-S,4,400528
85-S,5,407348
85-S,6,407367
85-S,7,407352
85-S,8,407360
85-S,9,407361
85-S,10,402061
85-S,11,407364
85-S,12,407372
85-S,13,407373
85-S,14,407370
85-S,15,400209
85-S,16,400648
85-S,17,400828
85-S,18,401224
85-S,19,400097
85-S,20,400582
85-S,21,404444
85-S,22,400213
85-S,23,400907
85-S,24,400792
85-S,25,400934
85-S,26,400017
85-S,27,400700
85-S,28,400772
85-S,29,400717
85-S,30,400059
85-S,31,400690
85-S,32,400085
85-S,33,401495
85-S,34,400637
85-S,35,400519
87-N,1,400280
87-N,2,405613
87-N,3,401129
87-N,4,401957
87-N,5,404451
87-N,6,400178
87-N,7,401567
87-N,8,404452
87-N,9,401597
87-N,10,400418
87-N,11,400654
87-N,12,400664
87-N,13,404453
87-N,14,400258
87-N,15,400916
87-N,16,400563
87-N,17,402056
87-N,18,402059
87-N,19,402118
87-N,20,409524
87-N,21,409525
87-N,22,409526
87-N,23,401817
87-S,1,401816
87-S,2,409529
87-S,3,409528
87-S,4,402117
87-S,5,402058
87-S,6,402057
87-S,7,400236
87-S,8,400065
87-S,9,400995
87-S,10,404461
87-S,11,400837
87-S,12,400040
87-S,13,400257
87-S,14,401606
87-S,15,405619
